trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.01, 'e': 0.9814937344334329}",20,3,-135.05441025778964,"{0: 8, 1: 1, 2: 4, 3: 3, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.9812254013658768}",20,0,-125.70343632503777,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.01, 'e': 0.9809551553491915}",20,0,-46.009062653371394,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.9806829969102356}",25,0,-55.36340747266944,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.9804089265795957}",30,0,-138.90505096333106,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.980132944891586}",20,0,-39.05700237833345,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.9798550523842469}",20,0,-44.44616905534776,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.9795752495993441}",20,0,-51.69186851477444,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.9792935370823674}",35,0,-215.66797371042318,"{0: 19, 1: 6, 2: 5, 3: 2, 4: 3}",0
147,False,"{'a': 0.01, 'e': 0.9790099153825298}",20,0,-154.04766955848038,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
148,False,"{'a': 0.01, 'e': 0.9787243850527664}",20,0,-36.12310210402238,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.978436946649733}",30,5,-128.10406993117206,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",1
150,False,"{'a': 0.01, 'e': 0.9781476007338057}",25,0,-50.35327614091773,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.9778563478690789}",25,0,-166.53091819761664,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
152,False,"{'a': 0.01, 'e': 0.9775631886233652}",20,4,-61.188577414316285,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.01, 'e': 0.9772681235681935}",20,0,-132.90397879411304,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
154,False,"{'a': 0.01, 'e': 0.9769711532788081}",20,0,-41.12122738026132,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.9766722783341679}",25,0,-75.45647260897191,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.9763714993169449}",20,0,-83.3568702286212,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
157,False,"{'a': 0.01, 'e': 0.9760688168135231}",20,0,-44.04061194697237,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.9757642314139975}",20,9,-23.210454240151797,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.9754577437121731}",20,0,-51.255628139080436,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
160,False,"{'a': 0.01, 'e': 0.9751493543055633}",20,0,-93.34946223427538,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
161,False,"{'a': 0.01, 'e': 0.9748390637953889}",30,0,-137.51644863213625,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
162,False,"{'a': 0.01, 'e': 0.9745268727865771}",25,0,-156.2706002200081,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
163,False,"{'a': 0.01, 'e': 0.9742127818877605}",20,0,-34.22943726744167,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.9738967917112752}",20,0,-147.2606770073882,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
